group,invariant,invariantType,variables,pptname,tp
etag,LENGTH(return.etag)==27,daikon.inv.unary.string.FixedLengthString,(return.etag),/youtube/v3/videos&getVideos&200():::EXIT,1.0
items,"size(return.items[]) >= 1
input.maxResults >= size(return.items[])
size(input.id[]) >= size(return.items[])","daikon.inv.unary.scalar.LowerBound
daikon.inv.binary.twoScalar.IntGreaterEqual
daikon.inv.binary.twoScalar.IntGreaterEqual","(size(return.items[..]))
(input.maxResults, size(return.items[..]))
(size(input.id[..]), size(return.items[..]))","/youtube/v3/videos&getVideos&200():::EXIT
/youtube/v3/videos&getVideos&200():::EXIT
/youtube/v3/videos&getVideos&200():::EXIT",0.6666666666666666
items.ageGating,return.ageGating == null,daikon.inv.unary.scalar.OneOfScalar,(return.ageGating),/youtube/v3/videos&getVideos&200&items():::EXIT,1.0
items.contentDetails.caption,"return.contentDetails.caption one of { ""false"", ""true"" }",daikon.inv.unary.string.OneOfString,(return.contentDetails.caption),/youtube/v3/videos&getVideos&200&items():::EXIT,1.0
items.contentDetails.contentRating.djctqRatingReasons,return.contentDetails.contentRating.djctqRatingReasons == return.suggestions.editorSuggestions,daikon.inv.binary.twoScalar.IntEqual,"(return.contentDetails.contentRating.djctqRatingReasons, return.suggestions.editorSuggestions)",/youtube/v3/videos&getVideos&200&items():::EXIT,0.0
items.contentDetails.contentRating.fpbRatingReasons,return.contentDetails.contentRating.fpbRatingReasons == return.suggestions.editorSuggestions,daikon.inv.binary.twoScalar.IntEqual,"(return.contentDetails.contentRating.fpbRatingReasons, return.suggestions.editorSuggestions)",/youtube/v3/videos&getVideos&200&items():::EXIT,0.0
items.contentDetails.countryRestriction,return.contentDetails.countryRestriction == null,daikon.inv.unary.scalar.OneOfScalar,(return.contentDetails.countryRestriction),/youtube/v3/videos&getVideos&200&items():::EXIT,1.0
items.contentDetails.countryRestriction.exception,return.contentDetails.countryRestriction.exception == return.suggestions.editorSuggestions,daikon.inv.binary.twoScalar.IntEqual,"(return.contentDetails.countryRestriction.exception, return.suggestions.editorSuggestions)",/youtube/v3/videos&getVideos&200&items():::EXIT,0.0
items.contentDetails.definition,"return.contentDetails.definition one of { ""hd"", ""sd"" }
LENGTH(return.contentDetails.definition)==2","daikon.inv.unary.string.OneOfString
daikon.inv.unary.string.FixedLengthString","(return.contentDetails.definition)
(return.contentDetails.definition)","/youtube/v3/videos&getVideos&200&items():::EXIT
/youtube/v3/videos&getVideos&200&items():::EXIT",1.0
items.contentDetails.dimension,"return.contentDetails.dimension one of { ""2d"", ""3d"" }
LENGTH(return.contentDetails.dimension)==2","daikon.inv.unary.string.OneOfString
daikon.inv.unary.string.FixedLengthString","(return.contentDetails.dimension)
(return.contentDetails.dimension)","/youtube/v3/videos&getVideos&200&items():::EXIT
/youtube/v3/videos&getVideos&200&items():::EXIT",1.0
items.contentDetails.projection,"return.contentDetails.projection == ""rectangular""
LENGTH(return.contentDetails.projection)==11","daikon.inv.unary.string.OneOfString
daikon.inv.unary.string.FixedLengthString","(return.contentDetails.projection)
(return.contentDetails.projection)","/youtube/v3/videos&getVideos&200&items():::EXIT
/youtube/v3/videos&getVideos&200&items():::EXIT",0.0
items.contentDetails.regionRestriction.allowed,"return.contentDetails.regionRestriction.allowed[] one of { [CA, IN, PH, US], [GU, MP, PR, US, VI] }
All the elements of return.contentDetails.regionRestriction.allowed[] have LENGTH=2
size(return.contentDetails.regionRestriction.allowed[]) one of { 4, 5 }","daikon.inv.unary.stringsequence.OneOfStringSequence
daikon.inv.unary.stringsequence.SequenceFixedLengthString
daikon.inv.unary.scalar.OneOfScalar","(return.contentDetails.regionRestriction.allowed[..])
(return.contentDetails.regionRestriction.allowed[..])
(size(return.contentDetails.regionRestriction.allowed[..]))","/youtube/v3/videos&getVideos&200&items():::EXIT
/youtube/v3/videos&getVideos&200&items():::EXIT
/youtube/v3/videos&getVideos&200&items():::EXIT",0.3333333333333333
items.contentDetails.regionRestriction.blocked,"All the elements of return.contentDetails.regionRestriction.blocked[] have LENGTH=2
size(return.contentDetails.regionRestriction.blocked[]) >= 1","daikon.inv.unary.stringsequence.SequenceFixedLengthString
daikon.inv.unary.scalar.LowerBound","(return.contentDetails.regionRestriction.blocked[..])
(size(return.contentDetails.regionRestriction.blocked[..]))","/youtube/v3/videos&getVideos&200&items():::EXIT
/youtube/v3/videos&getVideos&200&items():::EXIT",1.0
items.etag,LENGTH(return.etag)==27,daikon.inv.unary.string.FixedLengthString,(return.etag),/youtube/v3/videos&getVideos&200&items():::EXIT,1.0
items.fileDetails,return.fileDetails == null,daikon.inv.unary.scalar.OneOfScalar,(return.fileDetails),/youtube/v3/videos&getVideos&200&items():::EXIT,1.0
items.fileDetails.audioStreams,return.fileDetails.audioStreams == null,daikon.inv.unary.scalar.OneOfScalar,(return.fileDetails.audioStreams),/youtube/v3/videos&getVideos&200&items():::EXIT,1.0
items.fileDetails.videoStreams,return.fileDetails.videoStreams == null,daikon.inv.unary.scalar.OneOfScalar,(return.fileDetails.videoStreams),/youtube/v3/videos&getVideos&200&items():::EXIT,1.0
items.id,"LENGTH(return.id)==11
return.id in input.id[]
return.id is a substring of return.player.embedHtml
return.id is a substring of return.snippet.thumbnails.default.url
return.id is a substring of return.snippet.thumbnails.high.url
return.id is a substring of return.snippet.thumbnails.maxres.url
return.id is a substring of return.snippet.thumbnails.medium.url
return.id is a substring of return.snippet.thumbnails.standard.url","daikon.inv.unary.string.FixedLengthString
daikon.inv.binary.sequenceString.MemberString
daikon.inv.binary.twoString.StdString$SubString
daikon.inv.binary.twoString.StdString$SubString
daikon.inv.binary.twoString.StdString$SubString
daikon.inv.binary.twoString.StdString$SubString
daikon.inv.binary.twoString.StdString$SubString
daikon.inv.binary.twoString.StdString$SubString","(return.id)
(input.id[..], return.id)
(return.id, return.player.embedHtml)
(return.id, return.snippet.thumbnails.default.url)
(return.id, return.snippet.thumbnails.high.url)
(return.id, return.snippet.thumbnails.maxres.url)
(return.id, return.snippet.thumbnails.medium.url)
(return.id, return.snippet.thumbnails.standard.url)","/youtube/v3/videos&getVideos&200&items():::EXIT
/youtube/v3/videos&getVideos&200&items():::EXIT
/youtube/v3/videos&getVideos&200&items():::EXIT
/youtube/v3/videos&getVideos&200&items():::EXIT
/youtube/v3/videos&getVideos&200&items():::EXIT
/youtube/v3/videos&getVideos&200&items():::EXIT
/youtube/v3/videos&getVideos&200&items():::EXIT
/youtube/v3/videos&getVideos&200&items():::EXIT",1.0
items.kind,"return.kind == ""youtube#video""
LENGTH(return.kind)==13","daikon.inv.unary.string.OneOfString
daikon.inv.unary.string.FixedLengthString","(return.kind)
(return.kind)","/youtube/v3/videos&getVideos&200&items():::EXIT
/youtube/v3/videos&getVideos&200&items():::EXIT",1.0
items.liveStreamingDetails.activeLiveChatId,"return.liveStreamingDetails.activeLiveChatId == ""Cg0KC3dIbjFfUVZvWEdNKicKGFVDajZQY3lMdnBuSVJUXzJXX213YTlBdxILd0huMV9RVm9YR00""",daikon.inv.unary.string.OneOfString,(return.liveStreamingDetails.activeLiveChatId),/youtube/v3/videos&getVideos&200&items():::EXIT,0.0
items.liveStreamingDetails.actualEndTime,"LENGTH(return.liveStreamingDetails.actualEndTime)==20
return.liveStreamingDetails.actualEndTime is Timestamp. Format: YYYY-MM-DDTHH:MM:SS.mmZ (Miliseconds are optional)","daikon.inv.unary.string.FixedLengthString
daikon.inv.unary.string.dates.IsTimestampYYYYMMHHThhmmssmm","(return.liveStreamingDetails.actualEndTime)
(return.liveStreamingDetails.actualEndTime)","/youtube/v3/videos&getVideos&200&items():::EXIT
/youtube/v3/videos&getVideos&200&items():::EXIT",1.0
items.liveStreamingDetails.actualStartTime,"LENGTH(return.liveStreamingDetails.actualStartTime)==20
return.liveStreamingDetails.actualStartTime is Timestamp. Format: YYYY-MM-DDTHH:MM:SS.mmZ (Miliseconds are optional)","daikon.inv.unary.string.FixedLengthString
daikon.inv.unary.string.dates.IsTimestampYYYYMMHHThhmmssmm","(return.liveStreamingDetails.actualStartTime)
(return.liveStreamingDetails.actualStartTime)","/youtube/v3/videos&getVideos&200&items():::EXIT
/youtube/v3/videos&getVideos&200&items():::EXIT",1.0
